lag_bins,acf,white_noise_95_band,acf_physically_relevant_analytic,shuffle_95_band,acf_physically_relevant_shuffle
70,1.0068085488036063e-05,0.009134080456134,False,1.951723490771841e-07,True
71,9.974407091987871e-06,0.009134080456134,False,1.917664867459089e-07,True
72,1.0065399603583224e-05,0.009134080456134,False,1.8636576901766442e-07,True
73,1.0017223939177666e-05,0.009134080456134,False,2.0337849356966528e-07,True
74,1.0034473420141491e-05,0.009134080456134,False,1.9030104104413322e-07,True
75,9.940433600331887e-06,0.009134080456134,False,2.0173994214686652e-07,True
76,1.0010906824302383e-05,0.009134080456134,False,1.810344525784586e-07,True
77,1.0116000239229034e-05,0.009134080456134,False,1.7741698505675532e-07,True
78,9.839931108726555e-06,0.009134080456134,False,1.8892609624240544e-07,True
79,1.0084415237052208e-05,0.009134080456134,False,1.7600662482312026e-07,True
80,1.001599348592935e-05,0.009134080456134,False,1.9851796654986704e-07,True
81,1.0095032238029789e-05,0.009134080456134,False,2.0204100858519548e-07,True
82,1.0108995710957825e-05,0.009134080456134,False,2.1539902209204163e-07,True
83,1.0001826854667761e-05,0.009134080456134,False,2.085381085486524e-07,True
84,9.944962643782812e-06,0.009134080456134,False,1.854039881759222e-07,True
85,9.945277699238986e-06,0.009134080456134,False,1.9494565321514787e-07,True
86,9.994557701575028e-06,0.009134080456134,False,1.8460241944543172e-07,True
87,9.980550835604137e-06,0.009134080456134,False,1.9074551401107998e-07,True
88,9.99138477506884e-06,0.009134080456134,False,2.0383559969373327e-07,True
89,1.0057080362202367e-05,0.009134080456134,False,1.9497417348102898e-07,True
90,9.976344474935036e-06,0.009134080456134,False,1.9465791893749227e-07,True
91,9.961350525424892e-06,0.009134080456134,False,1.6849289948355647e-07,True
92,9.965705930296087e-06,0.009134080456134,False,1.9794422207799734e-07,True
93,1.0022059025089685e-05,0.009134080456134,False,1.7517820084651239e-07,True
94,9.921502043347232e-06,0.009134080456134,False,1.7926488322294035e-07,True
95,9.794533470193225e-06,0.009134080456134,False,2.0360164515319407e-07,True
96,9.914187304823978e-06,0.009134080456134,False,2.0529489603253526e-07,True
97,1.0063284659225641e-05,0.009134080456134,False,1.876053971743008e-07,True
98,1.0056752810034183e-05,0.009134080456134,False,2.0358109301332435e-07,True
99,9.957664095078392e-06,0.009134080456134,False,2.1752085641929175e-07,True
100,9.98409134877481e-06,0.009134080456134,False,1.8105919767285572e-07,True
101,9.960821185030607e-06,0.009134080456134,False,1.8696221268882393e-07,True
102,9.988758104098657e-06,0.009134080456134,False,1.9660287989985955e-07,True
103,1.004833296794159e-05,0.009134080456134,False,1.8037748121095422e-07,True
104,9.873867376977063e-06,0.009134080456134,False,1.857993122373885e-07,True
105,1.000847330090403e-05,0.009134080456134,False,2.0150375981046995e-07,True
106,9.991010184829943e-06,0.009134080456134,False,1.9334442992483137e-07,True
107,9.920212362866409e-06,0.009134080456134,False,2.090400136471509e-07,True
108,9.934975525246109e-06,0.009134080456134,False,1.9552264192883663e-07,True
109,9.980036408719155e-06,0.009134080456134,False,2.0330409964973244e-07,True
