window_start_idx,window_end_idx,window_start_time,window_end_time,window_mid_time,h_q-10,r2_q-10,h_q-9,r2_q-9,h_q-8,r2_q-8,h_q-7,r2_q-7,h_q-6,r2_q-6,h_q-5,r2_q-5,h_q-4,r2_q-4,h_q-3,r2_q-3,h_q-2,r2_q-2,h_q-1,r2_q-1,h_q0,r2_q0,h_q1,r2_q1,h_q2,r2_q2,h_q3,r2_q3,h_q4,r2_q4,h_q5,r2_q5,h_q6,r2_q6,h_q7,r2_q7,h_q8,r2_q8,h_q9,r2_q9,h_q10,r2_q10
3650,7299,1910-01-03 00:00:00+00:00,1919-12-31 00:00:00+00:00,1915-01-02 00:00:00+00:00,0.8244207450759575,0.9852757764592258,0.8212158830714474,0.9855103169872679,0.8180662551689957,0.9858494074400733,0.8150838562552325,0.9863321987100516,0.8123687593461938,0.9870055893463326,0.809945707968649,0.9879258990015828,0.8076708604479166,0.9891659660473309,0.8051449910050011,0.9908155201738892,0.8016904969354997,0.9929126123422265,0.7963999833283759,0.9951968141679715,0.7882179135357319,0.9967328006876984,0.7762197552164227,0.9960389969433407,0.7604152595260343,0.9922188289017823,0.7424009456510912,0.9856771642425987,0.7245340766723343,0.9776370703042451,0.7084899201953435,0.9694289478391453,0.6948437849817628,0.9619528134699916,0.6834783258103744,0.9555713889943952,0.6740279311730063,0.9503031455717416,0.6661097500646057,0.9460194846654533,0.6594017247367976,0.9425548053962806
4015,7664,1911-01-03 00:00:00+00:00,1920-12-30 00:00:00+00:00,1916-01-02 00:00:00+00:00,0.7881068193299671,0.9710649050594152,0.7809997581841719,0.9718790569420183,0.7733292175515526,0.9728689444855761,0.7653831085452137,0.9741239773257455,0.7576668914325597,0.9757861269335087,0.7509052227544083,0.9780451230828642,0.7459840499347994,0.9810912488481762,0.7438452989527113,0.9850022455416632,0.7452436792458563,0.989524444916382,0.7500851500250905,0.9938330287349232,0.7565486298710264,0.9968635102568739,0.7615819557696276,0.9983264740275336,0.7631033897416153,0.9987973429032154,0.7610617370528237,0.9988996942096305,0.7565810411320019,0.9989509602277329,0.7509141842001422,0.999023179287833,0.7449729709419138,0.9990854063983117,0.7392752329622773,0.999100841853163,0.7340514273294846,0.9990568889152057,0.7293649269746856,0.9989600575616225,0.7251972069729202,0.9988244780811109
4380,8029,1912-01-03 00:00:00+00:00,1921-12-30 00:00:00+00:00,1917-01-01 00:00:00+00:00,0.8336396185333219,0.9605440942033752,0.8243102353070543,0.9614480901274438,0.813554628648328,0.9626521824776737,0.801456101419616,0.9643160855835787,0.7884245209380486,0.9666693112051584,0.7752543498945981,0.9699111097263065,0.7628953548549441,0.9738428735401194,0.75188145727249,0.9773852049151905,0.7418118770414835,0.9790743451889389,0.7315935043315716,0.9788788314000089,0.7204395341658394,0.9782364471150112,0.7083817100635863,0.978074890151443,0.6959182163467181,0.978416777567477,0.6836479695794391,0.9789981728836683,0.6721409555342653,0.9795364335441676,0.6618148697794579,0.9798280898417946,0.6528434775587271,0.979800904152724,0.645186962679892,0.9794870922112584,0.638688929926068,0.9789640593434973,0.6331594537895822,0.9783115366388075,0.6284198372139537,0.9775933538525634
4745,8394,1913-01-02 00:00:00+00:00,1922-12-30 00:00:00+00:00,1918-01-01 00:00:00+00:00,0.7280388938996838,0.9683922826372696,0.7254051399627554,0.9677149841878487,0.7227278746929808,0.9668826853662801,0.7201200138544501,0.9658593488360364,0.717785343363981,0.964611553396606,0.7160850158333973,0.9631311749754721,0.7156437509452536,0.9614945866631952,0.7174849257048586,0.9599898123051496,0.7230857046899385,0.9593056988469647,0.7339912781482992,0.9605561118496112,0.7503913629803904,0.9645294088971655,0.769119647462595,0.9702788942111346,0.7844577001838041,0.9755498399398448,0.7926791396402965,0.9791578977464962,0.7941026203478861,0.981379320236762,0.7910208424281285,0.9828215829030724,0.7856135815306813,0.9838804433712054,0.7793163691627292,0.984735986586351,0.7729267708638551,0.985454351875737,0.7668386938360501,0.9860589609919933,0.7612188622910611,0.9865629459650122
5110,8759,1914-01-02 00:00:00+00:00,1923-12-30 00:00:00+00:00,1919-01-01 00:00:00+00:00,0.7571862276223835,0.9743621071018758,0.7546524009983969,0.9734769469116821,0.7522380992659929,0.9724155370597911,0.7501261565130699,0.9711717968303576,0.7485793359315114,0.9697726715440751,0.7479377922381902,0.9683143462439995,0.748564031426781,0.9670180650098409,0.7506807639896566,0.9662846585422468,0.7540571777153523,0.9666609768945021,0.7575990399475127,0.9685551434383077,0.7591166022723042,0.9716508859451661,0.7557649154135087,0.9744953508126749,0.7454771587336478,0.9751484073014847,0.7286439492370013,0.9726576779879488,0.708151234328171,0.9676031012795732,0.6873836616297005,0.961316513332235,0.6685122736674277,0.9549271508745517,0.6523372607058059,0.9490146634437571,0.6388430840233232,0.9437555630055237,0.6276835730662172,0.9391404880075883,0.6184420455481252,0.9350989316145641
5475,9124,1915-01-02 00:00:00+00:00,1924-12-29 00:00:00+00:00,1920-01-01 00:00:00+00:00,0.7069033320752627,0.9801522405335609,0.7044380854267417,0.981440569487781,0.7022449470167011,0.9829605503037265,0.7005508498884758,0.9847691686635471,0.6996921003313845,0.9869266511821625,0.700139782770088,0.9894608620823261,0.7024688226860247,0.9922717558588171,0.7071358588401875,0.9949568682017405,0.7138609911790429,0.9966803109810239,0.7207581085185373,0.9964658180294798,0.7244466662276989,0.9939482754223076,0.7221027121359924,0.9895299844907786,0.7133409820223086,0.9837183389186807,0.6998448579091942,0.9768854658896947,0.6839441372546458,0.9694425518445623,0.6676380967488997,0.9618324786829844,0.6522500459630931,0.9544262273819689,0.6384535832387552,0.9474834900097278,0.6264539832518091,0.9411588175023343,0.6161850129571159,0.9355192050368231,0.6074560691218869,0.9305656320381119
5840,9489,1916-01-02 00:00:00+00:00,1925-12-29 00:00:00+00:00,1920-12-31 00:00:00+00:00,0.7849755326227916,0.9740310334678997,0.7789307895073936,0.975414188262331,0.7722397624536346,0.9770589943081757,0.7648424261879152,0.9789854290368419,0.756687745235765,0.9812004716209173,0.7477464005870856,0.9836888321497564,0.7380326731952527,0.9863948603923269,0.7276395393209509,0.9891855715649119,0.7167831910644522,0.9917861940788717,0.7058223607888753,0.9937062365145052,0.6951672353022054,0.9942482583766418,0.6850197600404392,0.9927600795695539,0.6751293689129868,0.9890919933930754,0.6649384720086325,0.9837764452372313,0.6540820808548543,0.9776726214715259,0.6426883498544,0.9715136753856961,0.6312270326643626,0.9657303212625421,0.6201983649110174,0.9605023406318215,0.6099488871582006,0.9558663237829853,0.6006439235594329,0.9517931279158275,0.5923141451563151,0.9482283130953129
6205,9854,1917-01-01 00:00:00+00:00,1926-12-29 00:00:00+00:00,1921-12-31 00:00:00+00:00,0.7652486892142352,0.9475881883869044,0.7611637495318576,0.9492084653388836,0.756741854819648,0.9514821717080015,0.7519296027048767,0.9546315539359791,0.746668135959842,0.9589117294109636,0.7409355842268948,0.9645335947677522,0.7348755774877295,0.9714533225380352,0.7290715210896438,0.9790136740976138,0.724894771830371,0.9858305259208608,0.7244812395949857,0.9907222969261403,0.7297816917931671,0.993896138908671,0.7409418225337056,0.9960477302538342,0.7552361669089047,0.9969165356734213,0.768366460262781,0.9962583612056608,0.7775184227095299,0.9947594966800307,0.782391219497321,0.9931847764651083,0.7839889193819309,0.9918494972297597,0.7834718778190378,0.9907811771099673,0.7817315640534431,0.9899222676753415,0.7793564176213408,0.9892131150417353,0.7767071366630263,0.9886104703261651
6570,10219,1918-01-01 00:00:00+00:00,1927-12-29 00:00:00+00:00,1922-12-31 00:00:00+00:00,0.6991536514046665,0.965556005470268,0.6940886249749324,0.9662710714162317,0.6886741278320017,0.9671789408966021,0.6829717237029848,0.9683295647824436,0.6771445424005926,0.9697624540238375,0.6715743429455503,0.9714628867910576,0.6670957966399774,0.9732715010341345,0.665420280572798,0.9747558564064671,0.6698077582305303,0.9751365982082856,0.6857752604269152,0.9733029988716901,0.7198546583601766,0.9678709935830119,0.7712203638726416,0.9591186299114439,0.8242213277230301,0.9514349007090686,0.8640818129509468,0.9476842474008028,0.8889694419443792,0.94678796030909,0.9029709430182613,0.9472456649839273,0.9101174374611382,0.9482401881000937,0.9131413960531183,0.9493830036234556,0.9137275805751578,0.9504846488239016,0.9128935270277063,0.9514537128950986,0.9112534004961566,0.952254042935056
6935,10584,1919-01-01 00:00:00+00:00,1928-12-28 00:00:00+00:00,1923-12-31 00:00:00+00:00,0.6540078674678586,0.9992684690290973,0.6525930808164362,0.9992606532447335,0.6517614473585195,0.9992288244102262,0.6518847816754628,0.9991774752867572,0.653535189144125,0.9991163256491586,0.6576070907142442,0.9990287638740133,0.665532342034862,0.9987233535821137,0.6795842767525019,0.9973570272422563,0.7027508871066775,0.9924796386047382,0.7359181793222186,0.9801855095942752,0.7713998319335652,0.9604766208039199,0.7960028105650716,0.9401978639975371,0.8053856011588292,0.9239629222990619,0.8037148889652388,0.9115081657854818,0.7960589170689353,0.9015404632467431,0.7858605432438039,0.8932394326513986,0.7750848306121326,0.8861976755790943,0.7647275062337369,0.8801926112491859,0.755215734793942,0.8750661043724799,0.7466723939210389,0.8706841715063862,0.7390736680239401,0.8669288011786496
