time,value
2010-01-15 00:00:00+00:00,184.0
2010-01-22 00:00:00+00:00,168.0
2010-01-29 00:00:00+00:00,130.0
2010-02-05 00:00:00+00:00,160.0
2010-02-12 00:00:00+00:00,149.0
2010-02-19 00:00:00+00:00,156.0
2010-02-26 00:00:00+00:00,1030.0
2010-03-05 00:00:00+00:00,412.0
2010-03-12 00:00:00+00:00,358.0
2010-03-19 00:00:00+00:00,239.0
2010-03-26 00:00:00+00:00,184.0
2010-04-02 00:00:00+00:00,271.0
2010-04-09 00:00:00+00:00,222.0
2010-04-16 00:00:00+00:00,194.0
2010-04-23 00:00:00+00:00,185.0
2010-04-30 00:00:00+00:00,217.0
2010-05-07 00:00:00+00:00,180.0
2010-05-14 00:00:00+00:00,173.0
2010-05-21 00:00:00+00:00,180.0
2010-05-28 00:00:00+00:00,188.0
2010-06-04 00:00:00+00:00,178.0
2010-06-11 00:00:00+00:00,248.0
2010-06-18 00:00:00+00:00,161.0
2010-06-25 00:00:00+00:00,182.0
2010-07-02 00:00:00+00:00,187.0
2010-07-09 00:00:00+00:00,193.0
2010-07-16 00:00:00+00:00,294.0
2010-07-23 00:00:00+00:00,219.0
2010-07-30 00:00:00+00:00,241.0
2010-08-06 00:00:00+00:00,248.0
2010-08-13 00:00:00+00:00,317.0
2010-08-20 00:00:00+00:00,179.0
2010-08-27 00:00:00+00:00,164.0
2010-09-03 00:00:00+00:00,293.0
2010-09-10 00:00:00+00:00,196.0
2010-09-17 00:00:00+00:00,184.0
2010-09-24 00:00:00+00:00,227.0
2010-10-01 00:00:00+00:00,193.0
2010-10-08 00:00:00+00:00,195.0
2010-10-15 00:00:00+00:00,173.0
2010-10-22 00:00:00+00:00,253.0
2010-10-29 00:00:00+00:00,194.0
2010-11-05 00:00:00+00:00,187.0
2010-11-12 00:00:00+00:00,290.0
2010-11-19 00:00:00+00:00,206.0
2010-11-26 00:00:00+00:00,210.0
2010-12-03 00:00:00+00:00,194.0
2010-12-10 00:00:00+00:00,177.0
2010-12-17 00:00:00+00:00,649.0
2010-12-24 00:00:00+00:00,459.0
2010-12-31 00:00:00+00:00,255.0
2011-01-07 00:00:00+00:00,326.0
2011-01-14 00:00:00+00:00,291.0
2011-01-21 00:00:00+00:00,231.0
2011-01-28 00:00:00+00:00,225.0
2011-02-04 00:00:00+00:00,218.0
2011-02-11 00:00:00+00:00,225.0
2011-02-18 00:00:00+00:00,249.0
2011-02-25 00:00:00+00:00,173.0
2011-03-04 00:00:00+00:00,265.0
2011-03-11 00:00:00+00:00,2170.0
2011-03-18 00:00:00+00:00,726.0
2011-03-25 00:00:00+00:00,456.0
2011-04-01 00:00:00+00:00,388.0
2011-04-08 00:00:00+00:00,385.0
2011-04-15 00:00:00+00:00,334.0
2011-04-22 00:00:00+00:00,277.0
2011-04-29 00:00:00+00:00,289.0
2011-05-06 00:00:00+00:00,335.0
2011-05-13 00:00:00+00:00,282.0
2011-05-20 00:00:00+00:00,277.0
2011-05-27 00:00:00+00:00,252.0
2011-06-03 00:00:00+00:00,252.0
2011-06-10 00:00:00+00:00,313.0
2011-06-17 00:00:00+00:00,251.0
2011-06-24 00:00:00+00:00,243.0
2011-07-01 00:00:00+00:00,269.0
2011-07-08 00:00:00+00:00,447.0
2011-07-15 00:00:00+00:00,238.0
2011-07-22 00:00:00+00:00,238.0
2011-07-29 00:00:00+00:00,219.0
2011-08-05 00:00:00+00:00,208.0
2011-08-12 00:00:00+00:00,198.0
2011-08-19 00:00:00+00:00,288.0
2011-08-26 00:00:00+00:00,238.0
2011-09-02 00:00:00+00:00,216.0
2011-09-09 00:00:00+00:00,208.0
2011-09-16 00:00:00+00:00,225.0
2011-09-23 00:00:00+00:00,213.0
2011-09-30 00:00:00+00:00,219.0
2011-10-07 00:00:00+00:00,216.0
2011-10-14 00:00:00+00:00,204.0
2011-10-21 00:00:00+00:00,301.0
2011-10-28 00:00:00+00:00,241.0
2011-11-04 00:00:00+00:00,242.0
2011-11-11 00:00:00+00:00,193.0
2011-11-18 00:00:00+00:00,263.0
2011-11-25 00:00:00+00:00,202.0
2011-12-02 00:00:00+00:00,203.0
2011-12-09 00:00:00+00:00,210.0
2011-12-16 00:00:00+00:00,183.0
2011-12-23 00:00:00+00:00,232.0
2011-12-30 00:00:00+00:00,216.0
2012-01-06 00:00:00+00:00,230.0
2012-01-13 00:00:00+00:00,254.0
