time,value
1973-01-24 00:00:00+00:00,752555071.6547945
1973-01-27 00:00:00+00:00,1825759393.717312
1973-01-30 00:00:00+00:00,180780766407.92944
1973-02-02 00:00:00+00:00,537573501.6692278
1973-02-05 00:00:00+00:00,127741759397.2772
1973-02-08 00:00:00+00:00,2662542179.094098
1973-02-11 00:00:00+00:00,798754777.6986077
1973-02-14 00:00:00+00:00,6349340700.489168
1973-02-17 00:00:00+00:00,1587196322.226304
1973-02-20 00:00:00+00:00,1267753101.7740812
1973-02-23 00:00:00+00:00,6774598005.114113
1973-02-26 00:00:00+00:00,64352800784.93108
1973-03-01 00:00:00+00:00,989961377.5871634
1973-03-04 00:00:00+00:00,1986388496.396631
1973-03-07 00:00:00+00:00,2081355150.1044164
1973-03-10 00:00:00+00:00,3244099402.858723
1973-03-13 00:00:00+00:00,1529692085.5235891
1973-03-16 00:00:00+00:00,42416688172.64674
1973-03-19 00:00:00+00:00,1768224607.6925032
1973-03-22 00:00:00+00:00,2886696773.4802904
1973-03-25 00:00:00+00:00,3096497258.559236
1973-03-28 00:00:00+00:00,2196287335.109389
1973-03-31 00:00:00+00:00,1134486573.2417376
1973-04-03 00:00:00+00:00,2972736110.2895255
1973-04-06 00:00:00+00:00,24922536354.842285
1973-04-09 00:00:00+00:00,1288239093.5825381
1973-04-12 00:00:00+00:00,7824658232.559187
1973-04-15 00:00:00+00:00,4951327037.270795
1973-04-18 00:00:00+00:00,665488850.0291263
1973-04-21 00:00:00+00:00,1191075134.1313415
1973-04-24 00:00:00+00:00,10459177961.517912
1973-04-27 00:00:00+00:00,1062349658.414025
1973-04-30 00:00:00+00:00,1433684249.0812078
1973-05-03 00:00:00+00:00,2361914324.0834
1973-05-06 00:00:00+00:00,769997738.9001418
1973-05-09 00:00:00+00:00,682420312.388599
1973-05-12 00:00:00+00:00,2755545072.3639174
1973-05-15 00:00:00+00:00,1125576105.059019
1973-05-18 00:00:00+00:00,817395832.6304972
1973-05-21 00:00:00+00:00,618675545.7473998
1973-05-24 00:00:00+00:00,1022349838.3583337
1973-05-27 00:00:00+00:00,2435000784.521485
1973-05-30 00:00:00+00:00,4515495224.934509
1973-06-02 00:00:00+00:00,708024869.9958503
1973-06-05 00:00:00+00:00,3113008867.273769
1973-06-08 00:00:00+00:00,4053111742.2208257
1973-06-11 00:00:00+00:00,2340864311.8937464
1973-06-14 00:00:00+00:00,3680899659.3737803
1973-06-17 00:00:00+00:00,361715789186.29596
1973-06-20 00:00:00+00:00,1003708500.083539
1973-06-23 00:00:00+00:00,48231317943.957504
1973-06-26 00:00:00+00:00,10310664030.220121
1973-06-29 00:00:00+00:00,13212230682.402342
1973-07-02 00:00:00+00:00,9919809043.409266
1973-07-05 00:00:00+00:00,2775881213.7012935
1973-07-08 00:00:00+00:00,1880361710.8808875
1973-07-11 00:00:00+00:00,1739465982.340953
1973-07-14 00:00:00+00:00,24613154310.383682
1973-07-17 00:00:00+00:00,1444921213.017029
1973-07-20 00:00:00+00:00,2494761779.2707334
1973-07-23 00:00:00+00:00,1352595476.5491016
1973-07-26 00:00:00+00:00,2756024354.580301
1973-07-29 00:00:00+00:00,5171488835.107316
1973-08-01 00:00:00+00:00,2678884882.587882
1973-08-04 00:00:00+00:00,2611255051.4679213
1973-08-07 00:00:00+00:00,9079025822.430597
1973-08-10 00:00:00+00:00,2178189209.545813
1973-08-13 00:00:00+00:00,1664970645.563596
1973-08-16 00:00:00+00:00,6975407055.825071
1973-08-19 00:00:00+00:00,1196673616.030733
1973-08-22 00:00:00+00:00,3580058665.5658345
1973-08-25 00:00:00+00:00,2285974042.7538276
1973-08-28 00:00:00+00:00,34026965992.759724
1973-08-31 00:00:00+00:00,561853541.9402125
1973-09-03 00:00:00+00:00,1191546582.814699
1973-09-06 00:00:00+00:00,1391746391.5463595
1973-09-09 00:00:00+00:00,2974255625.434435
1973-09-12 00:00:00+00:00,735016361.0734428
1973-09-15 00:00:00+00:00,1164803641.8487961
1973-09-18 00:00:00+00:00,5787359114.375329
1973-09-21 00:00:00+00:00,5111389244.174412
1973-09-24 00:00:00+00:00,4152138226.710265
1973-09-27 00:00:00+00:00,6662530781.533084
1973-09-30 00:00:00+00:00,2471409980.585266
1973-10-03 00:00:00+00:00,18250438479.77224
1973-10-06 00:00:00+00:00,32202550091.220985
1973-10-09 00:00:00+00:00,7649062556.307004
1973-10-12 00:00:00+00:00,1187650897.3876941
1973-10-15 00:00:00+00:00,642219903.3389548
1973-10-18 00:00:00+00:00,2159751186.0590158
1973-10-21 00:00:00+00:00,452360446.83606637
1973-10-24 00:00:00+00:00,2565931956.486475
1973-10-27 00:00:00+00:00,1259319452.0324776
1973-10-30 00:00:00+00:00,733375361.7202702
